what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225687648755
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687649069
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687652434
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687655482
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687659928
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1225687663019
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225687663091
closed,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1225687663096
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225687664474
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1225687668698
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687668923
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687671654
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1225687671695
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687672865
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687683052
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687691747
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225687702694
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225687723913
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225687728526
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225687729581
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225687731898
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225687758479
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225687774583
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225687775566
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225687776924
