what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688745181
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225688815379
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688815489
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688825696
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225688830255
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688830358
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225688836703
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225688840820
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225688843355
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688848677
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688850759
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225688890289
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225688890429
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1225688895944
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1225688897837
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225688935052
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688936210
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688942803
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225688945389
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225688946593
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225688947184
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688964821
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225688976527
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1225689017366
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1225689017552
