what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225380559405
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225380566648
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225380599374
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225380602138
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380638610
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380651506
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380654032
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380676272
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380683634
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380700112
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.export,1225380700144
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225380815292
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380863616
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225380891654
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380891747
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380893405
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225380959549
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380959649
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225380965913
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380969180
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225380990245
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225381003559
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225381196566
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225381252121
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225381253474
