what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725700579
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725705051
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725716758
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725762367
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725768781
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225725846302
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725846394
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725857897
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725898479
started,bundle,org.eclipse.jst.server.core,1.1.1.v20080730,org.eclipse.jst.server.core,1225725899986
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725900026
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725901240
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725902357
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725928007
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725935189
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225725993728
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225725993824
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225725999072
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225726034724
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225726034873
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225726045201
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225726051459
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225726197405
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225726197478
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225726221238
