what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225605835669
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606023503
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606024734
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225606102945
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606103045
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606131282
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606139838
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225606146617
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225606148679
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606152813
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606158695
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225606160711
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1225606165891
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606173373
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606203106
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606208229
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606211247
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606218457
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606228119
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606231438
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606232966
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606242437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225606263931
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225606278861
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1225606288627
