what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225341579708
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225341595258
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225341595727
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225341595782
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341656771
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341679687
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225341724505
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225341724764
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225341724828
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1225341729558
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341730224
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341730464
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1225341731925
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341732896
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341733119
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1225341737321
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341738510
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341738754
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1225341740594
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341741678
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341741934
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225341743762
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225341769225
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341771878
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225341782688
